epoch	capability	attribute	value	unit	deviceLabel	location	deviceId
2023-03-04T08:35:32Z	energyMeter	energy	21.043	kWh	Outlet: hot water	kitchen	6e0a5d1b-c958-43494b-bdb0b4-f91c482ba3e5
2023-03-04T08:50:39Z	relativeHumidityMeasurement	humidity	51	%	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-03-04T08:55:32Z	energyMeter	energy	21.046	kWh	Outlet: hot water	kitchen	6e0a5d1b-c958-43494b-bdb0b4-f91c482ba3e5
2023-03-04T09:05:32Z	energyMeter	energy	21.054	kWh	Outlet: hot water	kitchen	6e0a5d1b-c958-43494b-bdb0b4-f91c482ba3e5
2023-03-04T09:14:56Z	temperatureMeasurement	temperature	19	°C	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-03-04T09:18:16Z	switch	switch	on		Light: basin	bathroom	715f3ced-57ae-4b424a-83878c-35fdb0a12c86
2023-03-04T09:39:51Z	switch	switch	off		Light: basin	bathroom	715f3ced-57ae-4b424a-83878c-35fdb0a12c86
2023-03-04T09:44:56Z	temperatureMeasurement	temperature	19.1	°C	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-03-04T09:45:33Z	energyMeter	energy	21.064	kWh	Outlet: hot water	kitchen	6e0a5d1b-c958-43494b-bdb0b4-f91c482ba3e5
2023-03-04T10:14:57Z	temperatureMeasurement	temperature	19.2	°C	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-03-04T10:44:57Z	temperatureMeasurement	temperature	19.4	°C	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-03-04T10:55:33Z	energyMeter	energy	21.067	kWh	Outlet: hot water	kitchen	6e0a5d1b-c958-43494b-bdb0b4-f91c482ba3e5
2023-03-04T11:14:58Z	temperatureMeasurement	temperature	19.5	°C	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-03-04T11:35:33Z	energyMeter	energy	21.073	kWh	Outlet: hot water	kitchen	6e0a5d1b-c958-43494b-bdb0b4-f91c482ba3e5
2023-03-04T11:38:39Z	switch	switch	on		TV	living room	0174c95f-78bf-4b4a45-9c969d-ca795240bf3d
2023-03-04T11:44:58Z	temperatureMeasurement	temperature	19.6	°C	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-03-04T11:45:34Z	energyMeter	energy	21.085	kWh	Outlet: hot water	kitchen	6e0a5d1b-c958-43494b-bdb0b4-f91c482ba3e5
2023-03-04T11:57:07Z	switch	switch	off		TV	living room	0174c95f-78bf-4b4a45-9c969d-ca795240bf3d
2023-03-04T12:14:59Z	temperatureMeasurement	temperature	19.7	°C	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
